default_channel_grouping,date,users,new_users,sessions,bounce_rate,pages_per_session,avg__session_duration,ecommerce_conversion_rate,transactions,revenue
Paid Search,2019-11-20,1513,1205,1653,0.543859649122807,3.396249243799153,140.76467029643072,6.049606775559589e-4,1,13
Paid Search,2019-06-27,1511,1179,1665,0.5393393393393393,3.760960960960961,139.62822822822824,0.0012012012012012011,2,54.77
Paid Search,2019-07-09,1511,1219,1643,0.5660377358490566,3.4370054777845405,127.253804017042,0.0012172854534388314,2,48.88
Paid Search,2019-12-12,1500,1229,2110,0.5536267823930564,3.6553006819590825,135.76379417234966,0.0012399256044637321,2,48
Paid Search,2019-12-10,1496,1226,2106,0.5304347826086957,3.708695652173913,134.45590062111802,0,0,0
Paid Search,2019-02-07,1490,1284,1610,0.3093167701863354,5.024223602484472,207.49565217391304,0.0012422360248447205,2,39.98
Paid Search,2019-11-18,1486,1193,1630,0.5288343558282208,3.4012269938650306,147.45398773006136,0.001226993865030675,2,49.75
Paid Search,2019-09-10,1482,1227,1613,0.5306881587104774,3.444513329200248,121.6032238065716,6.199628022318661e-4,1,58
Paid Search,2019-09-18,1477,1201,1641,0.5118829981718465,3.5472273004265693,134.13833028641073,0.003656307129798903,6,917.4
Paid Search,2019-11-21,1467,1185,1598,0.5563204005006258,3.3260325406758446,128.8491864831039,0.0018773466833541927,3,78
Paid Search,2019-04-01,1458,1187,1613,0.47241165530068197,3.8629882207067574,138.7061376317421,0.0012399256044637321,2,69.72
Paid Search,2019-03-19,1456,1213,1553,0.510624597553123,3.6561493882807468,157.6284610431423,0.0019317450096587251,3,473.88
Paid Search,2019-10-22,1452,1190,1586,0.5170239596469105,3.1544766708701135,155.79760403530895,6.305170239596469e-4,1,22
Paid Search,2019-12-17,1447,1107,2034,0.5183279742765273,3.9665594855305466,148.56334405144693,0.005787781350482315,9,497
Paid Search,2019-11-27,1442,1150,1542,0.5239948119325551,3.8683527885862516,149.75875486381324,0.0012970168612191958,2,216
Paid Search,2019-06-04,1440,1158,1571,0.4952259707192871,4.040738383195417,159.72756206238066,0,0,0
Paid Search,2019-11-14,1437,1188,1576,0.5101522842639594,3.822969543147208,157.30456852791878,0.0038071065989847717,6,131
Paid Search,2019-06-12,1434,1115,1587,0.461877756773787,4.300567107750473,176.97416509136735,0.002520478890989288,4,206.07
Paid Search,2019-09-19,1433,1206,1547,0.4945054945054945,4.0077569489334195,150.05365223012282,0.0019392372333548805,3,119.4
Paid Search,2019-11-07,1431,1140,1586,0.5151324085750315,3.862547288776797,159.97667087011348,0.0018915510718789407,3,85
Paid Search,2019-11-06,1429,1117,1558,0.5365853658536586,3.467265725288832,138.7053915275995,6.418485237483953e-4,1,16
Paid Search,2019-04-23,1425,1145,1566,0.4942528735632184,3.8544061302681993,152.07151979565774,6.385696040868455e-4,1,29.99
Paid Search,2019-08-06,1421,1084,1551,0.4506769825918762,4.431334622823985,195.107027724049,0.0025789813023855577,4,154.95
Paid Search,2019-05-02,1418,1167,1580,0.520253164556962,3.6582278481012658,143.6632911392405,0,0,0
Paid Search,2019-05-13,1408,1124,1527,0.5114603798297315,3.6437459070072036,131.32023575638507,6.548788474132286e-4,1,87.25
Paid Search,2019-10-21,1405,1164,1501,0.5449700199866756,3.0026648900732846,133.42838107928048,0.0013324450366422385,2,56
Paid Search,2019-12-11,1405,1116,1987,0.5279789335088875,3.8940092165898617,151.2159315339039,6.583278472679394e-4,1,51
Paid Search,2019-05-23,1396,1130,1558,0.469191270860077,3.8157894736842106,155.4775353016688,0,0,0
Paid Search,2019-05-21,1395,1144,1514,0.4966974900924703,3.6763540290620873,117.68692206076618,0.001321003963011889,2,30.97
Paid Search,2019-08-27,1386,1138,1536,0.5084635416666666,3.6686197916666665,148.62239583333334,0.0013020833333333333,2,274.48
Paid Search,2019-11-12,1384,1093,1490,0.5281879194630873,3.4496644295302015,139.83892617449663,0,0,0
Paid Search,2019-10-31,1383,1185,1476,0.5941734417344173,2.9356368563685638,115.80962059620596,6.775067750677507e-4,1,60
Paid Search,2019-12-05,1381,1094,1944,0.5679676985195155,3.3432032301480485,143.5935397039031,0.002018842530282638,3,52.6
Paid Search,2019-03-27,1375,1096,1494,0.5160642570281124,3.7289156626506026,147.49598393574297,0,0,0
Paid Search,2019-04-09,1373,1114,1488,0.49731182795698925,3.862231182795699,143.68548387096774,0.003360215053763441,5,170.33
Paid Search,2019-08-08,1372,1082,1495,0.4762541806020067,4.2267558528428095,159.80535117056857,0.004013377926421404,6,245.67
Paid Search,2019-09-12,1371,1129,1454,0.5061898211829436,3.577716643741403,132.42434662998625,0,0,0
Paid Search,2019-11-11,1368,1101,1497,0.5123580494321978,3.626586506346025,155.2825651302605,0,0,0
Paid Search,2019-03-13,1366,1120,1479,0.5016903313049358,3.7876943881000678,144.1784989858012,0,0,0
Paid Search,2019-08-07,1366,1084,1510,0.48410596026490066,4.388079470198676,186.24900662251656,0.0033112582781456954,5,223.72
Paid Search,2019-09-04,1365,1111,1491,0.5184439973172368,3.693494299128102,141.05633802816902,0,0,0
Paid Search,2019-05-16,1363,1129,1485,0.5151515151515151,3.5845117845117844,149.01144781144782,0.0013468013468013469,2,184.28
Paid Search,2019-06-13,1361,1064,1523,0.4701247537754432,4.315167432698622,195.8988837820092,0.0013131976362442547,2,127.1
Paid Search,2019-07-30,1361,1095,1473,0.4575695858791582,4.307535641547862,169.316361167685,0.002036659877800407,3,56.82
Paid Search,2019-04-10,1359,1094,1478,0.49052774018944517,3.5757780784844386,138.22395128552097,6.765899864682003e-4,1,66.98
Paid Search,2019-07-16,1357,1092,1477,0.45091401489505756,4.156398104265403,164.9742721733243,0.002031144211238998,3,100.74
Paid Search,2019-09-03,1354,1105,1458,0.5150891632373114,3.5233196159122087,129.47462277091907,6.858710562414266e-4,1,151.99
Paid Search,2019-09-20,1353,1122,1454,0.5302613480055021,3.892709766162311,151.78335625859697,0.001375515818431912,2,90.7
Paid Search,2019-12-09,1352,1076,1915,0.5642076502732241,3.3456284153005464,126.55464480874316,0.001366120218579235,2,29
Paid Search,2019-05-15,1351,1093,1450,0.5158620689655172,3.731034482758621,147.71655172413793,6.89655172413793e-4,1,119.99
Paid Search,2019-05-10,1350,1096,1507,0.5056403450564034,3.9216987392169873,146.20437956204378,0,0,0
Paid Search,2019-11-01,1349,1201,1408,0.6448863636363636,3.0355113636363638,106.11079545454545,7.102272727272727e-4,1,7.5
Paid Search,2019-06-06,1348,1055,1470,0.46462585034013604,4.110884353741497,172.54149659863947,0.0020408163265306124,3,93.62
Paid Search,2019-03-04,1347,1106,1439,0.4683808200138985,3.8304378040305767,143.38637943015982,6.949270326615705e-4,1,12.99
Paid Search,2019-05-14,1347,1103,1434,0.5341701534170153,3.687587168758717,136.51952580195257,0,0,0
Paid Search,2019-06-03,1347,1044,1494,0.47657295850066933,3.961178045515395,147.6606425702811,0,0,0
Paid Search,2019-04-24,1345,1067,1484,0.5141509433962265,3.7628032345013476,143.75606469002696,0.0013477088948787063,2,69.34
Paid Search,2019-10-16,1345,1078,1445,0.5280276816608996,3.195847750865052,138.90865051903114,0.0020761245674740486,3,122
Paid Search,2019-05-06,1344,1080,1466,0.5081855388813097,3.7462482946793996,140.5368349249659,6.821282401091405e-4,1,61.97
Paid Search,2019-03-21,1343,1108,1487,0.48486886348352387,3.7323470073974447,146.98587760591795,0.0013449899125756557,2,114.88
Paid Search,2019-09-23,1342,1065,1487,0.5063887020847344,3.636180228648285,161.3315400134499,6.724949562878278e-4,1,11.75
Paid Search,2019-06-19,1341,1056,1493,0.4715338245144005,4.0127260549229735,154.92498325519088,6.697923643670462e-4,1,12.99
Paid Search,2019-03-18,1334,1081,1435,0.4968641114982578,3.6933797909407664,153.4404181184669,6.968641114982578e-4,1,45.18
Paid Search,2019-08-05,1329,1052,1451,0.4603721571330117,4.154376292212268,154.71812543073742,6.891798759476223e-4,1,681.5
Paid Search,2019-03-20,1326,1090,1437,0.5086986778009742,3.8211551844119693,138.43980514961726,6.958942240779402e-4,1,24.98
Paid Search,2019-02-21,1323,1074,1444,0.5013850415512465,3.708448753462604,138.70914127423822,0,0,0
Paid Search,2019-06-11,1320,1045,1443,0.4781704781704782,4.101871101871102,168.06444906444906,0.002079002079002079,3,159.28
Paid Search,2019-04-11,1318,1052,1432,0.5027932960893855,3.7339385474860336,143.23114525139664,0.0013966480446927375,2,46.97
Paid Search,2019-06-05,1318,1043,1415,0.44098939929328623,4.37243816254417,176.69328621908127,0.0021201413427561835,3,67.96
Paid Search,2019-03-07,1317,1084,1404,0.5085470085470085,3.665954415954416,141.3639601139601,0.0014245014245014246,2,180.94
Paid Search,2019-08-22,1317,1087,1425,0.5171929824561403,3.8884210526315788,158.2982456140351,0.002105263157894737,3,43.38
Paid Search,2019-12-18,1315,987,1911,0.5037645448323066,3.8021902806297057,173.46680355920603,0.0013689253935660506,2,90
Paid Search,2019-07-24,1314,1027,1422,0.4873417721518987,3.8656821378340367,141.72222222222223,7.032348804500703e-4,1,40
Paid Search,2019-10-24,1306,1062,1407,0.5316275764036958,3.260127931769723,145.30348258706468,0.0014214641080312722,2,128.5
Paid Search,2019-10-30,1304,1026,1400,0.5071428571428571,3.6064285714285713,151.015,0.0014285714285714286,2,82
Paid Search,2019-10-09,1303,1049,1441,0.5586398334489937,2.9632199861207495,127.2734212352533,0,0,0
Paid Search,2019-11-22,1299,1035,1437,0.5274878218510787,3.811412665274878,159.5650661099513,0.0013917884481558804,2,52.5
Paid Search,2019-06-17,1298,1029,1407,0.4541577825159915,3.984363894811656,135.78891257995735,0,0,0
Paid Search,2019-09-11,1298,1054,1413,0.5095541401273885,3.6532200990799715,138.24699221514507,0.0021231422505307855,3,57.5
Paid Search,2019-05-22,1297,1055,1385,0.5155234657039711,3.51985559566787,123.46787003610109,0.0021660649819494585,3,199.92
Paid Search,2019-11-05,1296,1032,1403,0.5096222380612973,3.9665003563791874,169.24376336421952,0.003563791874554526,5,287.5
Paid Search,2019-07-31,1294,1044,1413,0.4805378627034678,4.457183297947629,173.1224345364473,0.003538570417551309,5,1076.14
Paid Search,2019-06-25,1293,991,1407,0.43567874911158494,4.192608386638238,173.7000710732054,0.0014214641080312722,2,45.97
Paid Search,2019-02-25,1291,1045,1412,0.5191218130311614,3.6253541076487252,151.37960339943342,7.08215297450425e-4,1,26.98
Paid Search,2019-07-25,1290,1027,1425,0.48280701754385963,4.138245614035088,147.26666666666668,0.002105263157894737,3,90.75
Paid Search,2019-10-17,1288,1059,1388,0.5122478386167147,3.3796829971181555,146.72910662824208,0.001440922190201729,2,30.8
Paid Search,2019-03-25,1283,1069,1384,0.4848265895953757,3.981936416184971,156.4306358381503,0.001445086705202312,2,87.97
Paid Search,2019-08-29,1282,1071,1387,0.5191059841384282,3.795241528478731,142.23576063446288,7.209805335255948e-4,1,50
Paid Search,2019-07-10,1278,1035,1398,0.4864091559370529,4.09585121602289,147.83476394849785,0.002145922746781116,3,55.36
Paid Search,2019-04-25,1277,1055,1381,0.5119478638667632,3.55756698044895,143.10934105720492,0,0,0
Paid Search,2019-02-26,1276,1040,1383,0.502530730296457,3.514822848879248,145.05133767172813,7.230657989877079e-4,1,17.59
Paid Search,2019-04-04,1275,1038,1386,0.5079365079365079,3.9624819624819625,157.73953823953823,7.215007215007215e-4,1,21.99
Paid Search,2019-03-12,1273,997,1374,0.49708879184861715,3.6550218340611353,131.1688500727802,0.001455604075691412,2,68.95
Paid Search,2019-02-19,1272,1049,1361,0.5077149155033064,3.766348273328435,181.31814842027921,7.347538574577516e-4,1,24.98
Paid Search,2019-05-28,1269,997,1401,0.5267665952890792,3.663811563169165,155.52391149179158,7.137758743754461e-4,1,23.97
Paid Search,2019-10-07,1268,1043,1353,0.5306725794530672,3.0679970436067996,134.5410199556541,0.0022172949002217295,3,87.8
Paid Search,2019-06-18,1264,990,1402,0.47574893009985736,4.321683309557774,170.99857346647647,0.0028530670470756064,4,145.26
Paid Search,2019-06-20,1262,1011,1409,0.4591909155429382,4.085166784953868,170.75443577004967,0.0021291696238466998,3,78.75
Paid Search,2019-04-15,1261,1000,1360,0.4772058823529412,3.7588235294117647,116.50882352941177,0,0,0
Paid Search,2019-03-26,1259,1032,1371,0.49671772428884026,3.7563822027716993,120.98249452954047,0,0,0
Paid Search,2019-12-19,1258,985,1778,0.52906548933039,3.8543046357615895,154.98381162619575,0.002207505518763797,3,163
Paid Search,2019-08-09,1256,1009,1368,0.4473684210526316,4.867690058479532,174.71125730994152,0.0014619883040935672,2,18.8
Paid Search,2019-08-21,1256,1038,1378,0.5145137880986937,3.7285921625544267,143.6044992743106,0,0,0
Paid Search,2019-03-14,1252,1032,1371,0.48723559445660103,3.6506199854121077,158.93581327498177,0.0029175784099197666,4,371.7
Paid Search,2019-05-29,1251,1008,1368,0.5138888888888888,3.750730994152047,142.60599415204678,0.0029239766081871343,4,391.37
Paid Search,2019-11-30,1250,1063,1340,0.5417910447761194,3.5522388059701493,148.4044776119403,7.462686567164179e-4,1,110.2
Paid Search,2019-09-09,1247,997,1351,0.5122131754256106,3.794966691339748,149.50703182827536,0.0014803849000740192,2,115
Paid Search,2019-07-11,1245,965,1358,0.45581737849779086,4.445508100147276,160.88438880706923,0.0022091310751104565,3,49.67
Paid Search,2019-11-15,1244,1011,1371,0.5091174325309993,3.7293946024799416,169.39387308533918,0.002188183807439825,3,114.5
Paid Search,2019-04-08,1243,976,1369,0.47260774287801316,3.944485025566107,132.8845872899927,0.0014609203798392988,2,63.97
Paid Search,2019-04-02,1242,1013,1372,0.5072886297376094,3.7448979591836733,148.37609329446065,0.002186588921282799,3,324.38
Paid Search,2019-07-17,1242,992,1377,0.4567901234567901,4.336238198983297,156.8329702251271,7.262164124909223e-4,1,24.99
Paid Search,2019-07-18,1242,982,1381,0.4677769732078204,4.29833454018827,172.58435916002895,0.002896451846488052,4,213.79
Paid Search,2019-06-24,1241,965,1362,0.461086637298091,4.334067547723936,168.15932452276064,0.0022026431718061676,3,100.35
Paid Search,2019-10-01,1239,959,1356,0.5317109144542773,3.1415929203539825,131.57890855457228,0.0014749262536873156,2,77
Paid Search,2019-03-06,1237,1004,1365,0.4901098901098901,4.1692307692307695,168.04835164835166,7.326007326007326e-4,1,118.05
Paid Search,2019-05-30,1237,993,1341,0.46607009694258017,4.323639075316928,141.1364653243848,0.0022371364653243847,3,295.71
Paid Search,2019-07-15,1237,999,1357,0.48268238761974946,4.143699336772292,157.10464259395727,0.0014738393515106854,2,156.94
Paid Search,2019-05-03,1236,1021,1344,0.49330357142857145,3.8154761904761907,143.63095238095238,7.44047619047619e-4,1,21.99
Paid Search,2019-06-28,1236,980,1375,0.4283636363636364,4.384727272727273,156.54181818181817,0.002181818181818182,3,104.55
Paid Search,2019-02-27,1234,991,1332,0.5105105105105106,3.813813813813814,133.95045045045046,7.507507507507507e-4,1,28.02
Paid Search,2019-04-03,1234,969,1341,0.4891871737509321,3.854586129753915,154.91200596569723,0.0037285607755406414,5,264.8
Paid Search,2019-10-29,1233,981,1339,0.5929798356982823,3.165795369678865,118.9260642270351,0,0,0
Paid Search,2019-05-20,1231,981,1360,0.5036764705882353,4.030882352941177,158.69044117647059,0.0014705882352941176,2,45.98
Paid Search,2019-03-28,1224,971,1332,0.49624624624624625,3.620870870870871,137.04054054054055,0.0015015015015015015,2,97.91
Paid Search,2019-06-10,1223,962,1358,0.44477172312223856,4.562592047128129,177.29823269513992,0.0014727540500736377,2,153.24
Paid Search,2019-07-23,1223,981,1340,0.46044776119402986,4.142537313432836,144.93955223880596,7.462686567164179e-4,1,166.97
Paid Search,2019-04-16,1221,961,1318,0.49241274658573597,3.8034901365705616,142.7040971168437,0.002276176024279211,3,83.82
Paid Search,2019-07-01,1221,919,1441,0.44344205412907706,4.374739764052741,173.75641915336573,0.0013879250520471894,2,57.71
Paid Search,2019-09-13,1218,1019,1298,0.4946070878274268,3.735747303543914,138.47765793528507,0,0,0
Paid Search,2019-04-29,1217,966,1295,0.4965250965250965,3.787644787644788,146.13745173745173,0.003861003861003861,5,213.32
Paid Search,2019-12-13,1216,986,1832,0.5335714285714286,3.6292857142857144,118.63214285714285,0.005714285714285714,8,883.5
Paid Search,2019-03-11,1215,976,1325,0.4890566037735849,3.9977358490566037,165.708679245283,0.0015094339622641509,2,58.37
Paid Search,2019-10-02,1215,962,1323,0.5321239606953893,3.2615268329554046,133.7437641723356,7.558578987150416e-4,1,20.5
Paid Search,2019-10-10,1214,934,1326,0.5580693815987934,2.936651583710407,137.9132730015083,0,0,0
Paid Search,2019-08-28,1212,1006,1324,0.5113293051359517,3.892749244712991,138.87764350453173,7.552870090634441e-4,1,11
Paid Search,2019-10-03,1212,977,1310,0.5404580152671755,2.966412213740458,144.12290076335879,7.633587786259542e-4,1,17
Paid Search,2019-08-13,1211,967,1326,0.5075414781297134,4.0256410256410255,146.43212669683257,7.541478129713424e-4,1,21.99
Paid Search,2019-08-01,1208,950,1312,0.4428353658536585,4.456554878048781,177.359756097561,0.005335365853658537,7,452.63
Paid Search,2019-04-30,1206,961,1289,0.47711404189294027,3.6772692009309544,133.5865011636928,0,0,0
Paid Search,2019-09-05,1205,992,1292,0.5061919504643962,3.6021671826625385,134.04489164086687,0.00077399380804953565,1,11
Paid Search,2019-07-22,1196,947,1314,0.4741248097412481,3.909436834094368,153.48021308980213,0.0015220700152207,2,204.9
Paid Search,2019-06-14,1192,926,1321,0.48523845571536717,4.062831188493566,172.8682816048448,0.002271006813020439,3,60.96
Paid Search,2019-09-06,1188,975,1291,0.5267234701781565,3.787761425251743,140.07048799380325,0.0023237800154918666,3,136
Paid Search,2019-09-30,1184,950,1288,0.5427018633540373,3.3664596273291925,145.57375776397515,0.0038819875776397515,5,200.75
Paid Search,2019-08-12,1183,974,1294,0.5154559505409583,3.8686244204018547,153.37171561051005,0,0,0
Paid Search,2019-04-17,1182,956,1279,0.4839718530101642,4.117279124315872,158.652853792025,0.0023455824863174357,3,297.72
Paid Search,2019-10-08,1179,971,1284,0.5802180685358256,2.694704049844237,110.53582554517133,0,0,0
Paid Search,2019-03-05,1177,954,1291,0.4756003098373354,3.8009295120061966,155.61115414407436,7.74593338497289e-4,1,19.38
Paid Search,2019-12-01,1175,966,1631,0.5236567762630313,3.8949478748997595,138.91178829190056,0.0032076984763432237,4,148.5
Paid Search,2019-07-03,1174,934,1281,0.5105386416861827,3.65807962529274,139.97970335675254,0.00234192037470726,3,259.3
Paid Search,2019-10-18,1174,938,1280,0.53125,3.12734375,142.98515625,0.0015625,2,137
Paid Search,2019-10-25,1174,969,1271,0.5114083398898505,3.6860739575137687,156.67033831628638,0.003147128245476003,4,91.4
Paid Search,2019-08-23,1173,960,1281,0.5042935206869633,3.9305230288836848,142.1631537861046,0.00312256049960968,4,52.85
Paid Search,2019-04-22,1171,909,1300,0.46307692307692305,3.816153846153846,147.05923076923077,0,0,0
Paid Search,2019-07-29,1163,936,1279,0.46755277560594216,4.3346364347146205,163.94761532447225,0.0023455824863174357,3,90.14
Direct,2019-12-02,1162,1082,545,0.35237329042638776,3.909090909090909,133.37892196299276,0.004022526146419952,5,97.5
Paid Search,2019-03-08,1162,980,1293,0.5243619489559165,3.9350348027842226,133.23897911832947,0.0015467904098994587,2,122.51
Paid Search,2019-11-04,1157,942,1231,0.5134037367993501,3.910641754670999,160.01137286758734,8.123476848090983e-4,1,141
Paid Search,2019-02-28,1149,928,1229,0.516680227827502,3.563873067534581,126.57607811228641,8.136696501220504e-4,1,25.98
Paid Search,2019-10-28,1148,927,1249,0.5068054443554844,3.3370696557245796,125.9271417133707,8.006405124099279e-4,1,14
Paid Search,2019-03-15,1147,918,1224,0.5245098039215687,3.525326797385621,137.72875816993465,0,0,0
Paid Search,2019-04-12,1145,941,1254,0.4960127591706539,3.757575757575758,133.57416267942583,0.001594896331738437,2,162.95
Paid Search,2019-07-26,1145,908,1256,0.4323248407643312,4.499203821656051,158.65764331210192,0.0023885350318471337,3,144.49
Paid Search,2019-08-14,1144,904,1237,0.4696847210994341,4.170573969280517,159.0315278900566,0.0016168148746968471,2,148.52
Paid Search,2019-06-07,1142,909,1257,0.45584725536992843,4.498806682577565,163.31344470962608,0.002386634844868735,3,178.79
Paid Search,2019-05-01,1141,938,1230,0.4878048780487805,4.034959349593496,136.44227642276422,0.0032520325203252032,4,635.54
Paid Search,2019-08-26,1141,934,1269,0.49014972419227737,4.047281323877068,170.22931442080377,0,0,0
Paid Search,2019-05-31,1140,875,1246,0.4590690208667737,4.313804173354735,158.97191011235955,0.002407704654895666,3,87.96
Paid Search,2019-02-22,1137,939,1251,0.4988009592326139,3.715427657873701,134.8273381294964,0.0015987210231814548,2,37.98
Paid Search,2019-07-02,1131,872,1240,0.5032258064516129,4.0112903225806456,147.90725806451613,0.0024193548387096775,3,102.44
Paid Search,2019-06-21,1127,843,1277,0.46045418950665623,4.323414252153484,173.87235708692248,0.0023492560689115116,3,83.55
Paid Search,2019-07-19,1125,900,1252,0.4584664536741214,4.15814696485623,164.05271565495207,0.004792332268370607,6,328.47
Paid Search,2019-11-24,1125,936,1236,0.5299352750809061,3.9166666666666665,158.7233009708738,0,0,0
Paid Search,2019-07-08,1123,864,1223,0.4963205233033524,3.677023712183156,156.3744889615699,0,0,0
Paid Search,2019-12-06,1122,898,1588,0.5420098846787479,3.572487644151565,123.08484349258649,0.0016474464579901153,2,72.85
Paid Search,2019-08-30,1120,903,1180,0.4847457627118644,4.021186440677966,165.23305084745763,0.001694915254237288,2,64.49
Paid Search,2019-08-02,1118,876,1215,0.5004115226337449,3.9925925925925925,158.5679012345679,8.230452674897119e-4,1,59.99
Paid Search,2019-05-24,1116,884,1212,0.4884488448844885,4.0528052805280526,171.259900990099,8.250825082508251e-4,1,44.98
Paid Search,2019-01-14,1111,876,1237,0.3742926434923201,4.966855295068715,243.08730800323363,8.084074373484236e-4,1,146.97
Paid Search,2019-04-18,1111,889,1224,0.477124183006536,4.083333333333333,173.26388888888889,0.0024509803921568627,3,71.96
Paid Search,2019-11-08,1109,907,1218,0.5582922824302134,3.3916256157635467,135.4991789819376,0.0016420361247947454,2,90.25
Paid Search,2019-07-12,1108,867,1210,0.4644628099173554,4.3603305785123965,170.76776859504133,8.264462809917355e-4,1,17.5
Paid Search,2019-03-22,1100,880,1207,0.4788732394366197,3.568351284175642,149.62137531068765,0.0016570008285004142,2,153.59
Paid Search,2019-10-14,1089,880,1177,0.5658453695836874,2.7833474936278675,114.88275276125744,0,0,0
Paid Search,2019-09-02,1087,906,1188,0.5462962962962963,3.330808080808081,129.57912457912457,0,0,0
Paid Search,2019-03-29,1081,891,1211,0.4632535094962841,3.8827415359207267,134.52353426919902,8.257638315441783e-4,1,29.99
Paid Search,2019-03-01,1079,871,1149,0.504786771105309,3.5805047867711055,127.74238468233246,8.703220191470844e-4,1,31.98
Paid Search,2019-05-27,1078,877,1160,0.5525862068965517,3.413793103448276,150.06120689655174,8.620689655172414e-4,1,28.47
Paid Search,2019-04-26,1073,855,1200,0.485,4.055,165.05916666666667,0.0025,3,164.74
Paid Search,2019-02-18,1063,893,1143,0.5240594925634295,3.4356955380577427,130.52230971128608,0.0017497812773403325,2,104.96
Paid Search,2019-08-15,1049,865,1128,0.49822695035460995,3.8368794326241136,141.8005319148936,0.0017730496453900709,2,150.34
Paid Search,2019-04-05,1045,836,1154,0.48873483535528595,4.051126516464471,169.3474870017331,0.0017331022530329288,2,35.97
Paid Search,2019-01-10,1030,829,1105,0.3746606334841629,4.723076923076923,184.06515837104072,0.0018099547511312218,2,34.98
Paid Search,2019-01-09,1026,824,1145,0.38427947598253276,4.700436681222707,173.17903930131004,8.733624454148472e-4,1,76.98
Paid Search,2019-08-16,1026,832,1138,0.484182776801406,3.9894551845342705,158.82337434094904,0.0017574692442882249,2,168.96
Paid Search,2019-10-04,1022,817,1114,0.5323159784560144,3.360861759425494,127.71454219030521,0.0017953321364452424,2,260
Paid Search,2019-12-20,1022,814,1429,0.48443223443223443,4.1291208791208796,143.16391941391942,0.003663003663003663,4,244
Paid Search,2019-01-15,1014,780,1143,0.378827646544182,4.5231846019247595,196.87051618547682,0.0026246719160104987,3,134.97
Paid Search,2019-11-23,1008,847,1074,0.5726256983240223,3.5865921787709496,134.27001862197392,0.00186219739292365,2,301.5
Paid Search,2019-12-08,1008,840,1392,0.5112781954887218,4.180451127819549,162.81484962406014,0.004699248120300752,5,250.85
Paid Search,2019-09-15,1003,820,1095,0.4940639269406393,3.9899543378995435,170.45114155251142,9.132420091324201e-4,1,22
